outcome,10x genomics bam,fastq,fastq ×12,fastq ×16,fastq ×2,fastq ×24,fastq ×3,fastq ×4,fastq ×6,fastq ×8,fastq ×9,unknown,All
B,207,97,1,0,3,0,2052,240,4,5,0,6,2615
T,0,143,0,0,0,0,18,2,0,0,0,0,163
BB,0,0,0,0,55,0,2,1,0,0,0,0,58
BT,0,0,0,0,3,0,57,0,0,0,0,0,60
TB,5,0,0,5,1375,1,52,110,0,5,1,9,1563
TT,0,0,0,0,407,0,0,0,0,0,0,0,407
All,212,240,1,5,1843,1,2181,353,4,10,1,15,4866
