semantic_name_simplified,B,T,BB,BT,TB,TT
10x genomics bam,207,0,0,0,5,0
fastq,97,143,0,0,0,0
fastq ×12,1,0,0,0,0,0
fastq ×16,0,0,0,0,5,0
fastq ×2,3,0,55,3,1375,407
fastq ×24,0,0,0,0,1,0
fastq ×3,2052,18,2,57,52,0
fastq ×4,240,2,1,0,110,0
fastq ×6,4,0,0,0,0,0
fastq ×8,5,0,0,0,5,0
fastq ×9,0,0,0,0,1,0
unknown,6,0,0,0,9,0
