clusterLCA_curated	Category	Family
Zebrafish gut calicivirus	Novel	Caliciviridae
Zebrafish neurinoma calicivirus	Novel	Caliciviridae
Zebrafish systemic calicivirus	Novel	Caliciviridae
Zebrafish cardiovascular hantavirus	Novel	Hantaviridae
Zebrafish gonadal hantavirus	Novel	Hantaviridae
Zebrafish neural hantavirus	Novel	Hantaviridae
Zebrafish arterivirus	Novel	Nanhypoviridae
Zebrafish influenza B-like virus	Novel	Orthomyxoviridae
Zebrafish influenza-like virus	Novel	Orthomyxoviridae
Zebrafish hepatic paramyxovirus	Novel	Paramyxoviridae
Zebrafish systemic paramyxovirus	Novel	Paramyxoviridae
Zebrafish jaw picornavirus	Novel	Picornaviridae
Zebrafish jaw poxvirus	Novel	Poxviridae
Danio blood picornavirus/Zebrafish picornavirus 2	Novel*	Picornaviridae
Zebrafish adomavirus	Novel	(Adomaviruses)
Zebrafish rhabdo-like virus	Novel	(Rhabdo-like)
Cyprinid herpesvirus 3	Known	Alloherpesviridae
Rocky Mountain birnavirus	Known	Birnaviridae
Myotis ricketti associated fish calicivirus	Known	Caliciviridae
Wenzhou shark flavivirus	Known	Flaviviridae
Largemouth bass virus	Known	Iridoviridae
Singapore grouper virus	Known	Iridoviridae
Redspotted grouper nervous necrosis virus	Known	Nodaviridae
Infectious Salmon Anemia Virus	Known	Orthomyxoviridae
Zebrafish picornavirus 1	Known	Picornaviridae
Spring viraemia of carp virus	Known	Rhabdoviridae
Grass carp reovirus	Known	Spinareoviridae
