clusterLCA	clusterLCA_curated	Category
Adintovirus anguilla1	Adintovirus anguilla10665	Endogenous or not fish-associated
African cichlid piscichuvirus	African cichlid piscichuvirus	Endogenous or not fish-associated
Chuvivirus	Chuvivirus	Endogenous or not fish-associated
Deltainfluenzavirus	Deltainfluenzavirus	Endogenous or not fish-associated
Fish-associated parvo-like hybrid virus	Fish-associated parvo-like hybrid virus	Endogenous or not fish-associated
Fish-associated picorna-like virus 3	Fish-associated picorna-like virus 3	Endogenous or not fish-associated
Flumine Astrovirus 3	Flumine Astrovirus 3	Endogenous or not fish-associated
Hardyhead chuvirus	Hardyhead chuvirus	Endogenous or not fish-associated
Leatherback sea turtle adomavirus	Leatherback sea turtle adomavirus	Endogenous or not fish-associated
Luscinia sibilans parvo-like hybrid virus	Luscinia sibilans parvo-like hybrid virus	Endogenous or not fish-associated
Phoenicopteridae parvo-like hybrid virus	Phoenicopteridae parvo-like hybrid virus	Endogenous or not fish-associated
Phoenicopterus roseus parvo-like hybrid virus	Phoenicopterus roseus parvo-like hybrid virus	Endogenous or not fish-associated
Pimephales minnow adintovirus	Pimephales minnow adintovirus	Endogenous or not fish-associated
Psittacidae aveparvovirus	Psittacidae aveparvovirus	Endogenous or not fish-associated
Psittaciform aveparvovirus	Psittaciform aveparvovirus	Endogenous or not fish-associated
Salarius guttatus piscichuvirus	Salarius guttatus piscichuvirus	Endogenous or not fish-associated
Sea turtle neural virus 1	Sea turtle neural virus 1	Endogenous or not fish-associated
Astyanax tetra cavefish adintovirus	Astyanax tetra cavefish adintovirus	Insufficient Evidence
Blotched snakehead virus	Blotched snakehead virus	Insufficient Evidence
Blueface angelfish adomavirus	Blueface angelfish adomavirus	Insufficient Evidence
Catfish adomavirus	Catfish adomavirus	Insufficient Evidence
Cutthroat trout virus	Cutthroat trout virus	Insufficient Evidence
Cyprinid herpesvirus 1	Cyprinid herpesvirus 1	Insufficient Evidence
Guangdong catfish astro-like virus	Guangdong catfish astro-like virus	Insufficient Evidence
Larimichthys croaker adintovirus	Larimichthys croaker adintovirus	Insufficient Evidence
Snakehead retrovirus	Snakehead retrovirus	Insufficient Evidence
Cyvirus cyprinidallo3	Cyprinid herpesvirus 3	Known
Aquareovirus ctenopharyngodontis	Grass carp reovirus	Known
Isavirus	Infectious Salmon Anemia Virus	Known
Isavirus salaris	Infectious Salmon Anemia Virus	Known
Ranavirus	Largemouth bass virus	Known
Myotis ricketti associated fish calicivirus	Myotis ricketti associated fish calicivirus	Known
Betanodavirus	Redspotted grouper nervous necrosis virus	Known
Betanodavirus epinepheli	Redspotted grouper nervous necrosis virus	Known
Rocky Mountain birnavirus	Rocky Mountain birnavirus	Known
Ranavirus epinephelus1	Singapore grouper virus	Known
Sprivivirus cyprinus	Spring viraemia of carp virus	Known
Wenzhou shark flavivirus	Wenzhou shark flavivirus	Known
Cyprivirus A	Zebrafish picornavirus 1	Known
Zebrafish picornavirus 2	Danio blood picornavirus/Zebrafish picornavirus 2	Novel
Symphysodon discus adomavirus 1	Zebrafish adomavirus	Novel
Wuhan japanese halfbeak arterivirus	Zebrafish arterivirus	Novel
Wenling red spikefish hantavirus	Zebrafish cardiovascular hantavirus	Novel
Murray-Darling rainbowfish hantavirus	Zebrafish gonadal hantavirus	Novel
Barramundi calicivirus 1	Zebrafish gut calicivirus	Novel
Salmon aquaparamyxovirus	Zebrafish hepatic paramyxovirus	Novel
Betainfluenzavirus	Zebrafish influenza B-like virus	Novel
Betainfluenzavirus influenzae	Zebrafish influenza B-like virus	Novel
Wuhan spiny eel influenza virus	Zebrafish influenza B-like virus	Novel
Siamese algae-eater influenza-like virus	Zebrafish influenza-like virus	Novel
Coleura bat picornavirus	Zebrafish jaw picornavirus	Novel
Carp edema virus	Zebrafish jaw poxvirus	Novel
Salmovirus WFRC1	Zebrafish rhabdo-like virus	Novel
Atlantic salmon calicivirus	Zebrafish systemic calicivirus	Novel
Wenzhou pacific spadenose shark paramyxovirus	Zebrafish systemic paramyxovirus	Novel
