contig_name	clusterLCA_curated	Category
PRJNA543225_P_NODE_4_length_7161_cov_13.650169_g3_i0	Zebrafish neurinoma calicivirus	Novel
PRJNA792582_P_NODE_50_length_4016_cov_4.019021_g34_i0	Zebrafish neural hantavirus	Novel
