filename,test_size,Trial,status,num_train_epochs,learning_rate,weight_decay,lr_scheduler_type,warmup_steps,seed,train_batch_size,iter,total_time_s,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime
slurm-22878676_4294967294.out,0.05,_objective_ff6c739b,TERMINATED,5,0.000804894,0.134905,cosine,1568.05,8.71716,12,5,2051.09,0.17197,0.963313,0.952053,19.8775
slurm-22878683_4294967294.out,0.1,_objective_bc95e06d,TERMINATED,5,0.000875448,0.222029,cosine,1041.81,10.5062,12,5,1903.82,0.146592,0.966557,0.954435,18.2441
slurm-22878684_4294967294.out,0.15,_objective_9906901c,RUNNING,5,0.000877689,0.107765,cosine,191.902,8.3329,12,4,4432.65,0.192739,0.960736,0.947767,48.0397
slurm-22878685_4294967294.out,0.2,_objective_bf7bf769,RUNNING,5,0.00067067,0.216813,cosine,1137.7,98.7704,12,4,4011.6,0.1705,0.961188,0.95135,44.8779
slurm-22878686_4294967294.out,0.25,_objective_fb67eaeb,TERMINATED,5,0.000992706,0.25713,linear,400.853,99.7678,12,5,1575.77,0.166154,0.960997,0.94582,15.3986
slurm-22878687_4294967294.out,0.3,_objective_90600578,TERMINATED,5,0.000877863,0.140505,cosine,977.658,15.8633,12,5,1471.79,0.183293,0.960018,0.947025,14.2182
slurm-22878688_4294967294.out,0.35,_objective_23b64694,TERMINATED,5,0.000992975,0.221561,linear,890.118,81.0049,12,5,1366.12,0.153379,0.964094,0.949687,13.1603
slurm-22878689_4294967294.out,0.4,_objective_a0822c05,TERMINATED,5,0.000895098,0.256381,linear,912.131,73.739,12,5,1274.19,0.188897,0.958282,0.943263,12.2745
slurm-22878690_4294967294.out,0.45,_objective_4a83ea9c,TERMINATED,5,0.000998879,0.166605,polynomial,1048.39,71.6139,12,5,1157.95,0.194272,0.956989,0.944263,11.1918
slurm-22878691_4294967294.out,0.5,_objective_c6bdfef8,TERMINATED,5,0.000804498,0.223956,linear,547.228,11.8706,12,5,1067.5,0.157244,0.961766,0.951495,10.2427
slurm-22878692_4294967294.out,0.55,_objective_62123376,TERMINATED,5,0.000858515,0.261788,cosine,929.949,19.7826,12,5,948.098,0.19302,0.955175,0.943956,9.1165
slurm-22878693_4294967294.out,0.6,_objective_2c5a564b,TERMINATED,5,0.000979144,0.24531,linear,1063.85,62.479,12,5,858.708,0.222807,0.95169,0.927861,8.1925
slurm-22878694_4294967294.out,0.65,_objective_79a70ac3,TERMINATED,5,0.000990505,0.25672,linear,1717.91,62.1516,12,5,741.698,0.181545,0.95353,0.920284,7.1133
slurm-22878695_4294967294.out,0.7,_objective_dbe9c040,TERMINATED,5,0.000734515,0.21575,polynomial,1320.92,9.22001,12,5,635.408,0.22114,0.945442,0.927426,6.0912
slurm-22878696_4294967294.out,0.75,_objective_c69e54ce,TERMINATED,5,0.00087402,0.271661,cosine,1734.01,87.1674,12,5,538.031,0.181016,0.951838,0.933774,5.123
slurm-22878697_4294967294.out,0.8,_objective_14c56902,TERMINATED,5,0.000756811,0.19096,polynomial,1630.84,36.5066,12,5,1261.79,0.238616,0.936642,0.909958,11.2745
slurm-22878698_4294967294.out,0.85,_objective_dbde4f78,TERMINATED,5,0.000999679,0.182007,cosine,144.701,11.716,12,5,435.855,0.232569,0.936664,0.921743,4.0143
slurm-22878699_4294967294.out,0.9,_objective_4c287228,TERMINATED,5,0.000997798,0.18352,polynomial,100.377,21.8492,12,5,220.022,0.350947,0.908131,0.83025,2.0374
slurm-22878700_4294967294.out,0.95,_objective_28077bad,TERMINATED,5,0.000979635,0.147217,polynomial,720.052,0.476871,12,5,115.128,0.482585,0.881857,0.758954,1.0281
